title,price,rating,availability
A Light in the Attic,51.77,3,True
Tipping the Velvet,51.77,1,True
Soumission,51.77,1,True
Sharp Objects,51.77,4,True
Sapiens: A Brief History of Humankind,51.77,5,True
The Requiem Red,51.77,1,True
The Dirty Little Secrets of Getting Your Dream Job,51.77,4,True
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",51.77,3,True
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,51.77,4,True
The Black Maria,51.77,1,True
"Starving Hearts (Triangular Trade Trilogy, #1)",51.77,2,True
Shakespeare's Sonnets,51.77,4,True
Set Me Free,51.77,5,True
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),51.77,5,True
Rip it Up and Start Again,51.77,5,True
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",51.77,3,True
Olio,51.77,1,True
Mesaerion: The Best Science Fiction Stories 1800-1849,51.77,1,True
Libertarianism for Beginners,51.77,2,True
It's Only the Himalayas,51.77,2,True
In Her Wake,12.84,1,True
How Music Works,12.84,2,True
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",12.84,3,True
Chase Me (Paris Nights #2),12.84,5,True
Black Dust,12.84,5,True
Birdsong: A Story in Pictures,12.84,3,True
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,12.84,3,True
Aladdin and His Wonderful Lamp,12.84,3,True
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,12.84,5,True
Wall and Piece,12.84,4,True
The Four Agreements: A Practical Guide to Personal Freedom,12.84,5,True
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,12.84,3,True
The Elephant Tree,12.84,5,True
The Bear and the Piano,12.84,1,True
Sophie's World,12.84,5,True
Penny Maybe,12.84,3,True
Maude (1883-1993):She Grew Up with the country,12.84,2,True
"In a Dark, Dark Wood",12.84,1,True
Behind Closed Doors,12.84,4,True
You can't bury them all: Poems,12.84,2,True
Slow States of Collapse: Poems,57.31,3,True
Reasons to Stay Alive,57.31,2,True
Private Paris (Private #10),57.31,5,True
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,57.31,5,True
Without Borders (Wanderlove #1),57.31,2,True
When We Collided,57.31,1,True
"We Love You, Charlie Freeman",57.31,5,True
Untitled Collection: Sabbath Poems 2014,57.31,4,True
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",57.31,4,True
Unicorn Tracks,57.31,3,True
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",57.31,1,True
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),57.31,1,True
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,57.31,3,True
This One Summer,57.31,4,True
Thirst,57.31,5,True
The Torch Is Passed: A Harding Family Story,57.31,1,True
The Secret of Dreadwillow Carse,57.31,1,True
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",57.31,1,True
The Past Never Ends,57.31,4,True
The Natural History of Us (The Fine Art of Pretending #2),57.31,3,True
The Nameless City (The Nameless City #1),38.16,4,True
The Murder That Never Was (Forensic Instincts #5),38.16,3,True
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,38.16,4,True
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",38.16,4,True
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,38.16,3,True
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",38.16,5,True
The Gutsy Girl: Escapades for Your Life of Epic Adventure,38.16,1,True
The Electric Pencil: Drawings from Inside State Hospital No. 3,38.16,1,True
The Death of Humanity: and the Case for Life,38.16,4,True
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",38.16,3,True
The Art Forger,38.16,3,True
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,38.16,1,True
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,38.16,5,True
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,38.16,4,True
Soul Reader,38.16,2,True
Security,38.16,2,True
"Saga, Volume 6 (Saga (Collected Editions) #6)",38.16,3,True
"Saga, Volume 5 (Saga (Collected Editions) #5)",38.16,2,True
Reskilling America: Learning to Labor in the Twenty-First Century,38.16,2,True
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",38.16,3,True
